consom,breakdown,currency,geo\time	2014S2 	2013S2 	2012S2 	2011S2 	2010S2 	2009S2 	2008S2 	2007S2 
4161901,DP_NC,NAT,XK	0.0238 	0.0253 	: 	: 	: 	: 	: 	: 
4161901,DP_NC,PPS,AT	0.0995 	0.0989 	0.0982 	0.0969 	0.0986 	0.0969 	0.0966 	: 
4161901,DP_NC,PPS,BA	: 	0.2465 	0.2411 	: 	: 	: 	: 	: 
4161901,DP_NC,PPS,BE	0.1034 	0.0969 	0.0971 	0.0894 	0.0794 	0.0734 	0.0731 	0.0606 
4161901,DP_NC,PPS,BG	0.0385 	0.0620 	0.0659 	0.0618 	0.0486 	0.0537 	0.0622 	0.0645 
4161901,DP_NC,PPS,CY	0.0429 	0.0419 	0.0412 	0.0396 	0.0400 	: 	: 	: 
4161901,DP_NC,PPS,CZ	0.2362 	0.2413 	0.2299 	0.2247 	0.2029 	0.1743 	0.1654 	0.1786 
4161901,DP_NC,PPS,DE	0.1106 	0.1155 	0.1100 	0.1115 	0.1095 	0.1043 	0.1048 	0.1217 
4161901,DP_NC,PPS,DK	0.0766 	0.0700 	0.0722 	0.0628 	0.0591 	0.0611 	0.0520 	0.0593 
4161901,DP_NC,PPS,EE	0.0730 	0.0758 	0.0709 	0.0664 	0.0613 	0.0555 	0.0527 	0.0566 
4161901,DP_NC,PPS,EL	0.0499 	0.0487 	0.0465 	0.0444 	0.0544 	0.0491 	: 	: 
4161901,DP_NC,PPS,ES	0.1114 	0.0737 	0.1748 	0.1468 	0.1425 	0.0830 	0.0854 	: 
4161901,DP_NC,PPS,FI	0.1037 	0.1010 	0.1019 	0.0970 	0.0932 	0.0902 	0.0786 	0.0767 
4161901,DP_NC,PPS,FR	0.0982 	0.1150 	0.1108 	: 	: 	: 	: 	: 
4161901,DP_NC,PPS,HR	0.1099 	0.0941 	0.1322 	0.1079 	0.1063 	0.1074 	0.1121 	0.0951 
4161901,DP_NC,PPS,HU	0.1009 	0.1008 	0.1084 	: 	0.1105 	0.0973 	0.0836 	0.0968 
4161901,DP_NC,PPS,IE	0.1767 	0.1811 	0.1624 	0.1570 	: 	: 	: 	: 
4161901,DP_NC,PPS,IS	0.1864 	0.1947 	0.1197 	: 	: 	: 	: 	: 
4161901,DP_NC,PPS,IT	0.0738 	0.0683 	0.0665 	0.0890 	0.0942 	0.0961 	0.1004 	: 
4161901,DP_NC,PPS,LT	0.0668 	0.0705 	0.0983 	0.1056 	0.0983 	0.0713 	0.0638 	0.0838 
